Fecha,Servicio,Instalacion,Usos
"2014-01-01","010","Cursos","60"
"2014-01-01","010","Cursos Munipales","29"
"2014-01-01","010","Informacion Personal","147"
"2014-01-01","010","Instalaciones Deportivas","23"
"2014-01-01","010","Renovacion Cursos","16"
"2014-01-01","Aseos públicos","Avda Carlos Marx","620"
"2014-01-01","Aseos públicos","Avda del Llano","542"
"2014-01-01","Aseos públicos","C/ Puerto el Pontón","131"
"2014-01-01","Aseos públicos","Cerro Santa Catalina","116"
"2014-01-01","Aseos públicos","Donato Argüelles","1414"
"2014-01-01","Aseos públicos","El Rinconín","570"
"2014-01-01","Aseos públicos","Jardines de la Reina","1519"
"2014-01-01","Aseos públicos","Molinón-Piles","653"
"2014-01-01","Aseos públicos","Parque de las Palmeras","142"
"2014-01-01","Aseos públicos","Parque del Cabo San Lorenzo","16"
"2014-01-01","Aseos públicos","Paseo de Begoña","1499"
"2014-01-01","Aseos públicos","Paseo del Muro, Escalera 11","2305"
"2014-01-01","Aseos públicos","Paseo del Muro, escalera 3","2168"
"2014-01-01","Aseos públicos","Paseo del Muro, tostadero","2591"
"2014-01-01","Aseos públicos","Playa de Poniente","1495"
"2014-01-01","Aseos públicos","Playa del Arbeyal","583"
"2014-01-01","Aseos públicos","Plaza Cataluña","256"
"2014-01-01","Aseos públicos","Plaza San Miguel","1116"
"2014-01-01","Cimadevilla Centro Control","Campo Valdés","214"
"2014-01-01","Cimadevilla Centro Control","Fermín García Bernardo","224"
"2014-01-01","Cimadevilla con Tarjeta","Campo Valdés","1531"
"2014-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","1602"
"2014-01-01","Cimadevilla Taxi","Campo Valdés","141"
"2014-01-01","Cimadevilla Taxi","Fermín García Bernardo","240"
"2014-01-01","Gijón Bici","Gijón Bici","1772"
"2014-01-01","GijónBici","Horas Uso","1172"
"2014-01-01","GijónBici","Usuarios","560"
"2014-01-01","GijónBici","Viajes","1772"
"2014-01-01","Inscripciones","Cursos","8649"
"2014-01-01","Mediatecas","Adultos","10485"
"2014-01-01","Mediatecas","Infantiles","228"
