Fecha,Servicio,Instalacion,Usos
"2005-01-01","Gijón Bici","Gijón Bici","2341"
"2005-01-01","Mediatecas","Adultos","10560"
"2005-01-01","Mediatecas","Infantiles","718"
"2005-01-01","ORA","ORA","14200"
"2005-01-01","Piscinas","Piscina Coto Control","6090"
"2005-01-01","Piscinas","Piscina La Calzada Control","4286"
"2005-01-01","Piscinas","Piscina Llano Control","7076"
"2005-01-01","Piscinas","Piscina Moreda Control","4506"
"2005-01-01","Piscinas","Piscina Panchano Control","2936"
"2005-01-01","Piscinas","Piscina Pumarin Control","6337"
"2005-01-01","Préstamos bibliotecas","Adultos","17261"
"2005-01-01","Préstamos bibliotecas","Infantiles","3241"
"2005-01-01","Transporte","Tarjeta Turística","0"
"2005-01-01","Transporte","TC-Tarifa Empleado","2965"
"2005-01-01","Transporte","TC-Tarifa Empleado Emtusa","267"
"2005-01-01","Transporte","TC-Tarifa Familiar Emtusa","9073"
"2005-01-01","Transporte","TC-Tarifa Gratuita","15339"
"2005-01-01","Transporte","TC-Tarifa IES","3097"
"2005-01-01","Transporte","TC-Tarifa JOP","1149"
"2005-01-01","Transporte","TC-Tarifa Mayores de 65","87200"
"2005-01-01","Transporte","TC-Tarifa Menores de 26","177742"
"2005-01-01","Transporte","TC-Tarifa Normal","190362"
"2005-01-01","Transporte","TC-Tarifa Reducida","23190"
"2005-01-01","Transporte","TT-Tarifa Mayores de 65","21328"
"2005-01-01","Transporte","TT-Tarifa Menores de 26","27048"
"2005-01-01","Transporte","TT-Tarifa Normal","404295"
"2005-02-01","Gijón Bici","Gijón Bici","1706"
"2005-02-01","Mediatecas","Adultos","10271"
"2005-02-01","Mediatecas","Infantiles","644"
"2005-02-01","ORA","ORA","14200"
"2005-02-01","Piscinas","Piscina Coto Control","6032"
"2005-02-01","Piscinas","Piscina La Calzada Control","4738"
"2005-02-01","Piscinas","Piscina Llano Control","7174"
"2005-02-01","Piscinas","Piscina Moreda Control","4915"
"2005-02-01","Piscinas","Piscina Panchano Control","3023"
"2005-02-01","Piscinas","Piscina Pumarin Control","6726"
"2005-02-01","Préstamos bibliotecas","Adultos","18258"
"2005-02-01","Préstamos bibliotecas","Infantiles","3656"
"2005-02-01","Transporte","Tarjeta Turística","26"
"2005-02-01","Transporte","TC-Tarifa Empleado","2568"
"2005-02-01","Transporte","TC-Tarifa Empleado Emtusa","8402"
"2005-02-01","Transporte","TC-Tarifa Gratuita","14467"
"2005-02-01","Transporte","TC-Tarifa IES","3667"
"2005-02-01","Transporte","TC-Tarifa JOP","1011"
"2005-02-01","Transporte","TC-Tarifa Mayores de 65","90184"
"2005-02-01","Transporte","TC-Tarifa Menores de 26","174178"
"2005-02-01","Transporte","TC-Tarifa Normal","189041"
"2005-02-01","Transporte","TC-Tarifa Reducida","21441"
"2005-02-01","Transporte","TT-Tarifa Mayores de 65","16387"
"2005-02-01","Transporte","TT-Tarifa Menores de 26","22578"
"2005-02-01","Transporte","TT-Tarifa Normal","385635"
"2005-03-01","Gijón Bici","Gijón Bici","3217"
"2005-03-01","Mediatecas","Adultos","10066"
"2005-03-01","Mediatecas","Infantiles","794"
"2005-03-01","ORA","ORA","14200"
"2005-03-01","Piscinas","Piscina Coto Control","6025"
"2005-03-01","Piscinas","Piscina La Calzada Control","4854"
"2005-03-01","Piscinas","Piscina Llano Control","4876"
"2005-03-01","Piscinas","Piscina Moreda Control","5081"
"2005-03-01","Piscinas","Piscina Panchano Control","3112"
"2005-03-01","Piscinas","Piscina Pumarin Control","6710"
"2005-03-01","Préstamos bibliotecas","Adultos","19607"
"2005-03-01","Préstamos bibliotecas","Infantiles","4300"
"2005-03-01","Transporte","Tarjeta Turística","39"
"2005-03-01","Transporte","TC-Tarifa Empleado","2917"
"2005-03-01","Transporte","TC-Tarifa Empleado Emtusa","267"
"2005-03-01","Transporte","TC-Tarifa Familiar Emtusa","9109"
"2005-03-01","Transporte","TC-Tarifa Gratuita","17460"
"2005-03-01","Transporte","TC-Tarifa IES","3129"
"2005-03-01","Transporte","TC-Tarifa JOP","1161"
"2005-03-01","Transporte","TC-Tarifa Mayores de 65","112717"
"2005-03-01","Transporte","TC-Tarifa Menores de 26","192833"
"2005-03-01","Transporte","TC-Tarifa Normal","214180"
"2005-03-01","Transporte","TC-Tarifa Reducida","24888"
"2005-03-01","Transporte","TT-Tarifa Mayores de 65","12507"
"2005-03-01","Transporte","TT-Tarifa Menores de 26","17271"
"2005-03-01","Transporte","TT-Tarifa Normal","420045"
"2005-04-01","Cimadevilla Centro Control","Campo Valdés","449"
"2005-04-01","Cimadevilla Centro Control","Fermín García Bernardo","434"
"2005-04-01","Cimadevilla con Tarjeta","Campo Valdés","2628"
"2005-04-01","Cimadevilla con Tarjeta","Fermín García Bernardo","4163"
"2005-04-01","Gijón Bici","Gijón Bici","3690"
"2005-04-01","Mediatecas","Adultos","10763"
"2005-04-01","Mediatecas","Infantiles","806"
"2005-04-01","ORA","ORA","14200"
"2005-04-01","Piscinas","Piscina Coto Control","6857"
"2005-04-01","Piscinas","Piscina La Calzada Control","5319"
"2005-04-01","Piscinas","Piscina Llano Control","8957"
"2005-04-01","Piscinas","Piscina Moreda Control","5426"
"2005-04-01","Piscinas","Piscina Panchano Control","3014"
"2005-04-01","Piscinas","Piscina Pumarin Control","7380"
"2005-04-01","Préstamos bibliotecas","Adultos","18808"
"2005-04-01","Préstamos bibliotecas","Infantiles","4039"
"2005-04-01","Transporte","Tarjeta Turística","48"
"2005-04-01","Transporte","TC-Tarifa Empleado","3118"
"2005-04-01","Transporte","TC-Tarifa Empleado Emtusa","9646"
"2005-04-01","Transporte","TC-Tarifa Gratuita","18405"
"2005-04-01","Transporte","TC-Tarifa IES","4144"
"2005-04-01","Transporte","TC-Tarifa JOP","1126"
"2005-04-01","Transporte","TC-Tarifa Mayores de 65","120641"
"2005-04-01","Transporte","TC-Tarifa Menores de 26","224993"
"2005-04-01","Transporte","TC-Tarifa Normal","227796"
"2005-04-01","Transporte","TC-Tarifa Reducida","24802"
"2005-04-01","Transporte","TT-Tarifa Normal","425804"
"2005-04-25","Cimadevilla Centro Control","Campo Valdés","12"
"2005-04-25","Cimadevilla Centro Control","Fermín García Bernardo","9"
"2005-04-25","Cimadevilla con Tarjeta","Campo Valdés","89"
"2005-04-25","Cimadevilla con Tarjeta","Fermín García Bernardo","106"
"2005-04-25","Cimadevilla Taxi","Campo Valdés","7"
"2005-04-25","Cimadevilla Taxi","Fermín García Bernardo","18"
"2005-04-26","Cimadevilla Centro Control","Campo Valdés","20"
"2005-04-26","Cimadevilla Centro Control","Fermín García Bernardo","21"
"2005-04-26","Cimadevilla con Tarjeta","Campo Valdés","82"
"2005-04-26","Cimadevilla con Tarjeta","Fermín García Bernardo","106"
"2005-04-26","Cimadevilla Taxi","Campo Valdés","5"
"2005-04-26","Cimadevilla Taxi","Fermín García Bernardo","18"
"2005-04-27","Cimadevilla Centro Control","Campo Valdés","23"
"2005-04-27","Cimadevilla Centro Control","Fermín García Bernardo","9"
"2005-04-27","Cimadevilla con Tarjeta","Campo Valdés","75"
"2005-04-27","Cimadevilla con Tarjeta","Fermín García Bernardo","100"
"2005-04-27","Cimadevilla Taxi","Campo Valdés","5"
"2005-04-27","Cimadevilla Taxi","Fermín García Bernardo","20"
"2005-04-28","Cimadevilla Centro Control","Campo Valdés","14"
"2005-04-28","Cimadevilla Centro Control","Fermín García Bernardo","15"
"2005-04-28","Cimadevilla con Tarjeta","Campo Valdés","21"
"2005-04-28","Cimadevilla con Tarjeta","Fermín García Bernardo","117"
"2005-04-28","Cimadevilla Taxi","Campo Valdés","4"
"2005-04-28","Cimadevilla Taxi","Fermín García Bernardo","22"
"2005-04-29","Cimadevilla Centro Control","Campo Valdés","19"
"2005-04-29","Cimadevilla Centro Control","Fermín García Bernardo","11"
"2005-04-29","Cimadevilla con Tarjeta","Campo Valdés","72"
"2005-04-29","Cimadevilla con Tarjeta","Fermín García Bernardo","132"
"2005-04-29","Cimadevilla Taxi","Campo Valdés","15"
"2005-04-29","Cimadevilla Taxi","Fermín García Bernardo","23"
"2005-04-30","Cimadevilla Centro Control","Campo Valdés","18"
"2005-04-30","Cimadevilla Centro Control","Fermín García Bernardo","17"
"2005-04-30","Cimadevilla con Tarjeta","Campo Valdés","76"
"2005-04-30","Cimadevilla con Tarjeta","Fermín García Bernardo","112"
"2005-04-30","Cimadevilla Taxi","Campo Valdés","20"
"2005-04-30","Cimadevilla Taxi","Fermín García Bernardo","42"
"2005-05-01","Cimadevilla Centro Control","Campo Valdés","468"
"2005-05-01","Cimadevilla Centro Control","Fermín García Bernardo","426"
"2005-05-01","Cimadevilla con Tarjeta","Campo Valdés","2872"
"2005-05-01","Cimadevilla con Tarjeta","Fermín García Bernardo","4146"
"2005-05-01","Cimadevilla Taxi","Campo Valdés","18"
"2005-05-01","Cimadevilla Taxi","Fermín García Bernardo","29"
"2005-05-01","Gijón Bici","Gijón Bici","3906"
"2005-05-01","Mediatecas","Adultos","10492"
"2005-05-01","Mediatecas","Infantiles","779"
"2005-05-01","ORA","ORA","14200"
"2005-05-01","Piscinas","Piscina Coto Control","6321"
"2005-05-01","Piscinas","Piscina La Calzada Control","4687"
"2005-05-01","Piscinas","Piscina Llano Control","7700"
"2005-05-01","Piscinas","Piscina Moreda Control","4698"
"2005-05-01","Piscinas","Piscina Panchano Control","2239"
"2005-05-01","Piscinas","Piscina Pumarin Control","5743"
"2005-05-01","Préstamos bibliotecas","Adultos","16787"
"2005-05-01","Préstamos bibliotecas","Infantiles","3718"
"2005-05-01","Transporte","Tarjeta Turística","129"
"2005-05-01","Transporte","TC-Tarifa Empleado","2977"
"2005-05-01","Transporte","TC-Tarifa Empleado Emtusa","314"
"2005-05-01","Transporte","TC-Tarifa Familiar Emtusa","9083"
"2005-05-01","Transporte","TC-Tarifa Gratuita","19543"
"2005-05-01","Transporte","TC-Tarifa IES","3798"
"2005-05-01","Transporte","TC-Tarifa JOP","1271"
"2005-05-01","Transporte","TC-Tarifa Mayores de 65","131172"
"2005-05-01","Transporte","TC-Tarifa Menores de 26","215522"
"2005-05-01","Transporte","TC-Tarifa Normal","234695"
"2005-05-01","Transporte","TC-Tarifa Reducida","26920"
"2005-05-01","Transporte","TT-Tarifa Normal","421399"
"2005-05-02","Cimadevilla Centro Control","Campo Valdés","18"
