Fecha,Servicio,Instalacion,Usos
"2013-01-01","010","Cursos","41"
"2013-01-01","010","Cursos Munipales","17"
"2013-01-01","010","Informacion Personal","169"
"2013-01-01","010","Instalaciones Deportivas","26"
"2013-01-01","010","Renovacion Cursos","23"
"2013-01-01","Aseos públicos","Avda Carlos Marx","475"
"2013-01-01","Aseos públicos","Avda del Llano","483"
"2013-01-01","Aseos públicos","C/ Puerto el Pontón","99"
"2013-01-01","Aseos públicos","Cerro Santa Catalina","102"
"2013-01-01","Aseos públicos","Donato Argüelles","1481"
"2013-01-01","Aseos públicos","El Rinconín","566"
"2013-01-01","Aseos públicos","Jardines de la Reina","1742"
"2013-01-01","Aseos públicos","Molinón-Piles","700"
"2013-01-01","Aseos públicos","Parque de las Palmeras","847"
"2013-01-01","Aseos públicos","Parque del Cabo San Lorenzo","266"
"2013-01-01","Aseos públicos","Paseo de Begoña","1069"
"2013-01-01","Aseos públicos","Paseo del Muro, Escalera 11","2105"
"2013-01-01","Aseos públicos","Paseo del Muro, escalera 3","2588"
"2013-01-01","Aseos públicos","Paseo del Muro, tostadero","3069"
"2013-01-01","Aseos públicos","Playa de Poniente","1570"
"2013-01-01","Aseos públicos","Playa del Arbeyal","966"
"2013-01-01","Aseos públicos","Plaza Cataluña","774"
"2013-01-01","Aseos públicos","Plaza San Miguel","1205"
"2013-01-01","Cimadevilla Centro Control","Campo Valdés","193"
"2013-01-01","Cimadevilla Centro Control","Fermín García Bernardo","282"
"2013-01-01","Cimadevilla con Tarjeta","Campo Valdés","1563"
"2013-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2216"
"2013-01-01","Cimadevilla Taxi","Campo Valdés","225"
"2013-01-01","Cimadevilla Taxi","Fermín García Bernardo","297"
"2013-01-01","Gijón Bici","Gijón Bici","1827"
"2013-01-01","GijónBici","Horas Uso","1254"
"2013-01-01","GijónBici","Usuarios","714"
"2013-01-01","GijónBici","Viajes","1827"
"2013-01-01","Inscripciones","Cursos","163"
"2013-01-01","Mediatecas","Adultos","13015"
"2013-01-01","Mediatecas","Infantiles","265"
"2013-01-01","Préstamos bibliotecas","Adultos","21834"
"2013-01-01","Préstamos bibliotecas","Infantiles","5936"
"2013-01-01","Reserva de instalaciones","Antigua Pescadería","15"
"2013-01-01","Reserva de instalaciones","Casa Consistorial","16"
"2013-01-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","12"
"2013-01-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","349"
"2013-01-01","Reserva de instalaciones","Complejo Deportivo La Calzada","4699"
"2013-01-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","15"
"2013-01-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","3148"
"2013-01-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","4254"
"2013-01-01","Reserva de instalaciones","Pabellón de Deportes La Arena","264"
"2013-01-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","452"
"2013-01-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","54"
"2013-01-01","Reserva de instalaciones","Pabellón de La Tejerona","646"
"2013-01-01","Reserva de instalaciones","Palacio de Deportes","411"
"2013-01-01","Reserva de instalaciones","Piscina Municipal El Coto","4395"
"2013-01-01","Reserva de instalaciones","Piscina Municipal El Llano","4975"
"2013-01-01","Reserva de instalaciones","Piscina Municipal La Camocha","1119"
"2013-01-01","Transporte","Tarjeta Ciudadana","946126"
"2013-01-01","Transporte","Tarjeta Transporte","192223"
"2013-02-01","010","Cursos","19"
"2013-02-01","010","Cursos Munipales","16"
"2013-02-01","010","Informacion Personal","189"
"2013-02-01","010","Instalaciones Deportivas","26"
"2013-02-01","010","Renovacion Cursos","17"
"2013-02-01","Aseos públicos","Avda Carlos Marx","377"
"2013-02-01","Aseos públicos","Avda del Llano","546"
"2013-02-01","Aseos públicos","C/ Puerto el Pontón","77"
"2013-02-01","Aseos públicos","Cerro Santa Catalina","117"
"2013-02-01","Aseos públicos","Donato Argüelles","1084"
"2013-02-01","Aseos públicos","El Rinconín","584"
"2013-02-01","Aseos públicos","Jardines de la Reina","1172"
"2013-02-01","Aseos públicos","Molinón-Piles","575"
"2013-02-01","Aseos públicos","Parque de las Palmeras","764"
"2013-02-01","Aseos públicos","Parque del Cabo San Lorenzo","185"
"2013-02-01","Aseos públicos","Paseo de Begoña","1194"
"2013-02-01","Aseos públicos","Paseo del Muro, Escalera 11","2151"
"2013-02-01","Aseos públicos","Paseo del Muro, escalera 3","1914"
"2013-02-01","Aseos públicos","Paseo del Muro, tostadero","2224"
"2013-02-01","Aseos públicos","Playa de Poniente","1294"
"2013-02-01","Aseos públicos","Playa del Arbeyal","566"
"2013-02-01","Aseos públicos","Plaza Cataluña","635"
"2013-02-01","Aseos públicos","Plaza San Miguel","820"
"2013-02-01","Cimadevilla Centro Control","Campo Valdés","130"
"2013-02-01","Cimadevilla Centro Control","Fermín García Bernardo","245"
"2013-02-01","Cimadevilla con Tarjeta","Campo Valdés","1076"
"2013-02-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2476"
"2013-02-01","Cimadevilla Taxi","Campo Valdés","139"
"2013-02-01","Cimadevilla Taxi","Fermín García Bernardo","320"
"2013-02-01","Gijón Bici","Gijón Bici","2192"
"2013-02-01","GijónBici","Horas Uso","1690"
"2013-02-01","GijónBici","Usuarios","773"
"2013-02-01","GijónBici","Viajes","2192"
"2013-02-01","Inscripciones","Cursos","14"
"2013-02-01","Mediatecas","Adultos","12306"
"2013-02-01","Mediatecas","Infantiles","272"
"2013-02-01","Préstamos bibliotecas","Adultos","20665"
"2013-02-01","Préstamos bibliotecas","Infantiles","5963"
"2013-02-01","Reserva de instalaciones","Antigua Pescadería","19"
"2013-02-01","Reserva de instalaciones","Casa Consistorial","24"
"2013-02-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","9"
"2013-02-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","286"
"2013-02-01","Reserva de instalaciones","Complejo Deportivo La Calzada","4230"
"2013-02-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","13"
"2013-02-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","2846"
"2013-02-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","4080"
"2013-02-01","Reserva de instalaciones","Pabellón de Deportes La Arena","250"
"2013-02-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","403"
"2013-02-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","47"
"2013-02-01","Reserva de instalaciones","Pabellón de La Tejerona","576"
"2013-02-01","Reserva de instalaciones","Palacio de Deportes","329"
"2013-02-01","Reserva de instalaciones","Piscina Municipal El Coto","4165"
"2013-02-01","Reserva de instalaciones","Piscina Municipal El Llano","4551"
"2013-02-01","Reserva de instalaciones","Piscina Municipal La Camocha","1229"
"2013-02-01","Transporte","Tarjeta Ciudadana","875913"
"2013-02-01","Transporte","Tarjeta Transporte","172734"
"2013-03-01","010","Cursos","40"
"2013-03-01","010","Cursos Munipales","34"
"2013-03-01","010","Informacion Personal","152"
"2013-03-01","010","Instalaciones Deportivas","31"
"2013-03-01","010","Renovacion Cursos","22"
"2013-03-01","Aseos públicos","Avda Carlos Marx","37"
"2013-03-01","Aseos públicos","Avda del Llano","387"
"2013-03-01","Aseos públicos","C/ Puerto el Pontón","103"
"2013-03-01","Aseos públicos","Cerro Santa Catalina","90"
"2013-03-01","Aseos públicos","Donato Argüelles","1015"
"2013-03-01","Aseos públicos","El Rinconín","753"
"2013-03-01","Aseos públicos","Jardines de la Reina","1067"
"2013-03-01","Aseos públicos","Molinón-Piles","471"
"2013-03-01","Aseos públicos","Parque de las Palmeras","48"
"2013-03-01","Aseos públicos","Parque del Cabo San Lorenzo","109"
"2013-03-01","Aseos públicos","Paseo de Begoña","1125"
"2013-03-01","Aseos públicos","Paseo del Muro, Escalera 11","2380"
"2013-03-01","Aseos públicos","Paseo del Muro, escalera 3","2080"
"2013-03-01","Aseos públicos","Paseo del Muro, tostadero","2457"
"2013-03-01","Aseos públicos","Playa de Poniente","1428"
"2013-03-01","Aseos públicos","Playa del Arbeyal","311"
"2013-03-01","Aseos públicos","Plaza Cataluña","94"
"2013-03-01","Aseos públicos","Plaza San Miguel","754"
"2013-03-01","Cimadevilla Centro Control","Campo Valdés","244"
"2013-03-01","Cimadevilla Centro Control","Fermín García Bernardo","243"
"2013-03-01","Cimadevilla con Tarjeta","Campo Valdés","1640"
"2013-03-01","Cimadevilla con Tarjeta","Fermín García Bernardo","1952"
"2013-03-01","Cimadevilla Taxi","Campo Valdés","200"
"2013-03-01","Cimadevilla Taxi","Fermín García Bernardo","293"
"2013-03-01","Gijón Bici","Gijón Bici","2592"
"2013-03-01","GijónBici","Horas Uso","1981"
"2013-03-01","GijónBici","Usuarios","998"
"2013-03-01","GijónBici","Viajes","2592"
"2013-03-01","Mediatecas","Adultos","12666"
"2013-03-01","Mediatecas","Infantiles","258"
"2013-03-01","Préstamos bibliotecas","Adultos","21363"
"2013-03-01","Préstamos bibliotecas","Infantiles","6322"
"2013-03-01","Reserva de instalaciones","Antigua Pescadería","18"
"2013-03-01","Reserva de instalaciones","Casa Consistorial","15"
"2013-03-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","8"
"2013-03-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","416"
"2013-03-01","Reserva de instalaciones","Complejo Deportivo La Calzada","4145"
"2013-03-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","9"
"2013-03-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","3167"
"2013-03-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","4264"
"2013-03-01","Reserva de instalaciones","Edificio Pelayo","2"
"2013-03-01","Reserva de instalaciones","Pabellón de Deportes La Arena","249"
"2013-03-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","451"
"2013-03-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","53"
"2013-03-01","Reserva de instalaciones","Pabellón de La Tejerona","653"
"2013-03-01","Reserva de instalaciones","Palacio de Deportes","376"
"2013-03-01","Reserva de instalaciones","Piscina Municipal El Coto","4245"
"2013-03-01","Reserva de instalaciones","Piscina Municipal El Llano","4936"
"2013-03-01","Reserva de instalaciones","Piscina Municipal La Camocha","1227"
"2013-03-01","Transporte","Tarjeta Ciudadana","945043"
"2013-03-01","Transporte","Tarjeta Transporte","184801"
"2013-04-01","010","Cursos","42"
"2013-04-01","010","Cursos Munipales","25"
"2013-04-01","010","Informacion Personal","211"
"2013-04-01","010","Instalaciones Deportivas","29"
"2013-04-01","010","Renovacion Cursos","18"
"2013-04-01","Aseos públicos","Avda Carlos Marx","435"
"2013-04-01","Aseos públicos","Avda del Llano","663"
"2013-04-01","Aseos públicos","C/ Puerto el Pontón","263"
"2013-04-01","Aseos públicos","Cerro Santa Catalina","240"
"2013-04-01","Aseos públicos","Donato Argüelles","1654"
"2013-04-01","Aseos públicos","El Rinconín","1180"
"2013-04-01","Aseos públicos","Jardines de la Reina","1939"
"2013-04-01","Aseos públicos","Molinón-Piles","891"
"2013-04-01","Aseos públicos","Parque de las Palmeras","439"
"2013-04-01","Aseos públicos","Parque del Cabo San Lorenzo","323"
"2013-04-01","Aseos públicos","Paseo de Begoña","1337"
"2013-04-01","Aseos públicos","Paseo del Muro, Escalera 11","3011"
"2013-04-01","Aseos públicos","Paseo del Muro, escalera 3","3207"
"2013-04-01","Aseos públicos","Paseo del Muro, tostadero","3295"
"2013-04-01","Aseos públicos","Playa de Poniente","1834"
"2013-04-01","Aseos públicos","Playa del Arbeyal","1104"
"2013-04-01","Aseos públicos","Plaza Cataluña","893"
"2013-04-01","Aseos públicos","Plaza San Miguel","1198"
"2013-04-01","Cimadevilla Centro Control","Campo Valdés","256"
"2013-04-01","Cimadevilla Centro Control","Fermín García Bernardo","230"
"2013-04-01","Cimadevilla con Tarjeta","Campo Valdés","2169"
"2013-04-01","Cimadevilla con Tarjeta","Fermín García Bernardo","1633"
"2013-04-01","Cimadevilla Taxi","Campo Valdés","327"
"2013-04-01","Cimadevilla Taxi","Fermín García Bernardo","291"
"2013-04-01","Gijón Bici","Gijón Bici","3932"
"2013-04-01","GijónBici","Horas Uso","2927"
"2013-04-01","GijónBici","Usuarios","1366"
"2013-04-01","GijónBici","Viajes","3932"
"2013-04-01","Mediatecas","Adultos","14410"
"2013-04-01","Mediatecas","Infantiles","295"
"2013-04-01","Préstamos bibliotecas","Adultos","23435"
"2013-04-01","Préstamos bibliotecas","Infantiles","7282"
"2013-04-01","Reserva de instalaciones","Antigua Pescadería","31"
"2013-04-01","Reserva de instalaciones","Casa Consistorial","19"
"2013-04-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","5"
"2013-04-01","Reserva de instalaciones","Centro de Medicina Deportiva","9"
"2013-04-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","560"
"2013-04-01","Reserva de instalaciones","Complejo Deportivo La Calzada","4453"
"2013-04-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","15"
"2013-04-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","3712"
"2013-04-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","4664"
"2013-04-01","Reserva de instalaciones","Edificio Pelayo","2"
"2013-04-01","Reserva de instalaciones","Pabellón de Deportes La Arena","256"
"2013-04-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","420"
"2013-04-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","72"
"2013-04-01","Reserva de instalaciones","Pabellón de La Tejerona","704"
"2013-04-01","Reserva de instalaciones","Palacio de Deportes","401"
"2013-04-01","Reserva de instalaciones","Piscina Municipal El Coto","4628"
"2013-04-01","Reserva de instalaciones","Piscina Municipal El Llano","5084"
"2013-04-01","Reserva de instalaciones","Piscina Municipal La Camocha","1327"
"2013-04-01","Transporte","Tarjeta Ciudadana","966027"
"2013-04-01","Transporte","Tarjeta Transporte","191991"
"2013-05-01","010","Cursos","50"
"2013-05-01","010","Cursos Munipales","40"
"2013-05-01","010","Informacion Personal","212"
"2013-05-01","010","Instalaciones Deportivas","36"
