Fecha,Servicio,Instalacion,Usos
"2011-01-01","Aseos públicos","Avda Carlos Marx","371"
"2011-01-01","Aseos públicos","Avda del Llano","530"
"2011-01-01","Aseos públicos","C/ Puerto el Pontón","0"
"2011-01-01","Aseos públicos","Cerro Santa Catalina","0"
"2011-01-01","Aseos públicos","Donato Argüelles","879"
"2011-01-01","Aseos públicos","El Rinconín","701"
"2011-01-01","Aseos públicos","Jardines de la Reina","856"
"2011-01-01","Aseos públicos","Molinón-Piles","617"
"2011-01-01","Aseos públicos","Parque de las Palmeras","0"
"2011-01-01","Aseos públicos","Parque del Cabo San Lorenzo","165"
"2011-01-01","Aseos públicos","Paseo de Begoña","1111"
"2011-01-01","Aseos públicos","Paseo del Muro, Escalera 11","2434"
"2011-01-01","Aseos públicos","Paseo del Muro, escalera 3","1485"
"2011-01-01","Aseos públicos","Paseo del Muro, tostadero","2103"
"2011-01-01","Aseos públicos","Playa de Poniente","1415"
"2011-01-01","Aseos públicos","Playa del Arbeyal","572"
"2011-01-01","Aseos públicos","Plaza Cataluña","441"
"2011-01-01","Aseos públicos","Plaza San Miguel","0"
"2011-01-01","Cimadevilla Centro Control","Campo Valdés","254"
"2011-01-01","Cimadevilla Centro Control","Fermín García Bernardo","221"
"2011-01-01","Cimadevilla con Tarjeta","Campo Valdés","1861"
"2011-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","1845"
"2011-01-01","Cimadevilla Taxi","Campo Valdés","273"
"2011-01-01","Cimadevilla Taxi","Fermín García Bernardo","318"
"2011-01-01","Gijón Bici","Gijón Bici","1546"
"2011-01-01","Instalaciones Deportivas","Instalaciones Deportivas","20532"
"2011-01-01","Mediatecas","Adultos","11552"
"2011-01-01","Mediatecas","Infantiles","802"
"2011-01-01","ORA","ORA","1957"
"2011-01-01","Préstamos bibliotecas","Adultos","22789"
"2011-01-01","Préstamos bibliotecas","Infantiles","5845"
"2011-01-01","Reserva de instalaciones","Antigua Pescadería","25"
"2011-01-01","Reserva de instalaciones","Casa Consistorial","12"
"2011-01-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","40"
"2011-01-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","470"
"2011-01-01","Reserva de instalaciones","Complejo Deportivo La Calzada","4114"
"2011-01-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","34"
"2011-01-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","2764"
"2011-01-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","3536"
"2011-01-01","Reserva de instalaciones","Pabellón de Deportes La Arena","322"
"2011-01-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","363"
"2011-01-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","63"
"2011-01-01","Reserva de instalaciones","Palacio de Deportes","347"
"2011-01-01","Reserva de instalaciones","Piscina Municipal El Coto","4271"
"2011-01-01","Reserva de instalaciones","Piscina Municipal El Llano","4171"
