Fecha,Servicio,Instalacion,Usos
"2016-01-01","010","Cursos","45"
"2016-01-01","010","Cursos Munipales","23"
"2016-01-01","010","Informacion Personal","166"
"2016-01-01","010","Instalaciones Deportivas","23"
"2016-01-01","010","Renovacion Cursos","15"
"2016-01-01","Aseos públicos","Avda Carlos Marx","530"
"2016-01-01","Aseos públicos","Avda del Llano","491"
"2016-01-01","Aseos públicos","C/ Puerto el Pontón","81"
"2016-01-01","Aseos públicos","Cerro Santa Catalina","211"
"2016-01-01","Aseos públicos","Donato Argüelles","1649"
"2016-01-01","Aseos públicos","El Rinconín","613"
"2016-01-01","Aseos públicos","Jardines de la Reina","1397"
"2016-01-01","Aseos públicos","Molinón-Piles","593"
"2016-01-01","Aseos públicos","Parque de las Palmeras","207"
"2016-01-01","Aseos públicos","Parque del Cabo San Lorenzo","320"
"2016-01-01","Aseos públicos","Paseo de Begoña","198"
"2016-01-01","Aseos públicos","Paseo del Muro, Escalera 11","2484"
"2016-01-01","Aseos públicos","Paseo del Muro, escalera 3","2511"
"2016-01-01","Aseos públicos","Paseo del Muro, tostadero","2857"
"2016-01-01","Aseos públicos","Playa de Poniente","1847"
"2016-01-01","Aseos públicos","Playa del Arbeyal","694"
"2016-01-01","Aseos públicos","Plaza Cataluña","638"
"2016-01-01","Aseos públicos","Plaza San Miguel","639"
"2016-01-01","GijónBici","Horas Uso","950"
"2016-01-01","GijónBici","Usuarios","515"
"2016-01-01","GijónBici","Viajes","1364"
"2016-01-01","Inscripciones","Cursos","9995"
"2016-01-01","Mediatecas","Adultos","8790"
"2016-01-01","Mediatecas","Infantiles","195"
"2016-01-01","Préstamos bibliotecas","Adultos","14316"
"2016-01-01","Préstamos bibliotecas","Infantiles","6162"
"2016-01-01","Reserva de instalaciones","Antigua Pescadería","29"
"2016-01-01","Reserva de instalaciones","Casa Consistorial","21"
"2016-01-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","2"
"2016-01-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","263"
"2016-01-01","Reserva de instalaciones","Complejo Deportivo La Calzada","3484"
"2016-01-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","4"
"2016-01-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","2905"
"2016-01-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","3438"
"2016-01-01","Reserva de instalaciones","Edificio Pelayo","5"
"2016-01-01","Reserva de instalaciones","Pabellón de Deportes La Arena","203"
"2016-01-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","366"
"2016-01-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","41"
"2016-01-01","Reserva de instalaciones","Pabellón de La Tejerona","493"
"2016-01-01","Reserva de instalaciones","Palacio de Deportes","235"
"2016-01-01","Reserva de instalaciones","Piscina Municipal El Coto","3919"
"2016-01-01","Reserva de instalaciones","Piscina Municipal El Llano","3979"
"2016-01-01","Reserva de instalaciones","Piscina Municipal La Camocha","1256"
"2016-01-01","Transporte","Tarjeta Ciudadana","961061"
"2016-01-01","Transporte","Tarjeta Transporte","149572"
"2016-02-01","010","Cursos","64"
"2016-02-01","010","Cursos Munipales","28"
"2016-02-01","010","Informacion Personal","161"
"2016-02-01","010","Instalaciones Deportivas","24"
"2016-02-01","010","Renovacion Cursos","24"
"2016-02-01","Aseos públicos","Avda Carlos Marx","760"
"2016-02-01","Aseos públicos","Avda del Llano","362"
"2016-02-01","Aseos públicos","C/ Puerto el Pontón","107"
"2016-02-01","Aseos públicos","Cerro Santa Catalina","279"
"2016-02-01","Aseos públicos","Donato Argüelles","1616"
"2016-02-01","Aseos públicos","El Rinconín","683"
"2016-02-01","Aseos públicos","Jardines de la Reina","1534"
"2016-02-01","Aseos públicos","Molinón-Piles","618"
"2016-02-01","Aseos públicos","Parque de las Palmeras","101"
"2016-02-01","Aseos públicos","Parque del Cabo San Lorenzo","336"
"2016-02-01","Aseos públicos","Paseo de Begoña","193"
"2016-02-01","Aseos públicos","Paseo del Muro, Escalera 11","2719"
"2016-02-01","Aseos públicos","Paseo del Muro, escalera 3","2745"
"2016-02-01","Aseos públicos","Paseo del Muro, tostadero","2458"
"2016-02-01","Aseos públicos","Playa de Poniente","2033"
"2016-02-01","Aseos públicos","Playa del Arbeyal","530"
"2016-02-01","Aseos públicos","Plaza Cataluña","406"
"2016-02-01","Aseos públicos","Plaza San Miguel","484"
"2016-02-01","GijónBici","Horas Uso","884"
"2016-02-01","GijónBici","Usuarios","490"
"2016-02-01","GijónBici","Viajes","1299"
"2016-02-01","Inscripciones","Cursos","9276"
"2016-02-01","Mediatecas","Adultos","9354"
"2016-02-01","Mediatecas","Infantiles","211"
"2016-02-01","Préstamos bibliotecas","Adultos","15320"
"2016-02-01","Préstamos bibliotecas","Infantiles","7378"
"2016-02-01","Reserva de instalaciones","Antigua Pescadería","40"
"2016-02-01","Reserva de instalaciones","Casa Consistorial","29"
"2016-02-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","34"
"2016-02-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","277"
"2016-02-01","Reserva de instalaciones","Complejo Deportivo La Calzada","3474"
"2016-02-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","3"
"2016-02-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","2827"
"2016-02-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","3681"
"2016-02-01","Reserva de instalaciones","Edificio Pelayo","6"
"2016-02-01","Reserva de instalaciones","Hotel Madrid","1"
"2016-02-01","Reserva de instalaciones","Locales de ensayo para músicos","1"
"2016-02-01","Reserva de instalaciones","Pabellón de Deportes La Arena","242"
"2016-02-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","357"
"2016-02-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","23"
"2016-02-01","Reserva de instalaciones","Pabellón de La Tejerona","597"
"2016-02-01","Reserva de instalaciones","Palacio de Deportes","270"
"2016-02-01","Reserva de instalaciones","Piscina Municipal El Coto","4038"
"2016-02-01","Reserva de instalaciones","Piscina Municipal El Llano","4252"
"2016-02-01","Reserva de instalaciones","Piscina Municipal La Camocha","1324"
"2016-02-01","Transporte","Tarjeta Ciudadana","984988"
"2016-02-01","Transporte","Tarjeta Transporte","147772"
"2016-03-01","010","Cursos","45"
"2016-03-01","010","Cursos Munipales","31"
"2016-03-01","010","Informacion Personal","198"
"2016-03-01","010","Instalaciones Deportivas","36"
"2016-03-01","010","Renovacion Cursos","26"
"2016-03-01","Aseos públicos","Avda Carlos Marx","770"
"2016-03-01","Aseos públicos","Avda del Llano","525"
"2016-03-01","Aseos públicos","C/ Puerto el Pontón","76"
"2016-03-01","Aseos públicos","Cerro Santa Catalina","321"
"2016-03-01","Aseos públicos","Donato Argüelles","1457"
"2016-03-01","Aseos públicos","El Rinconín","906"
"2016-03-01","Aseos públicos","Jardines de la Reina","1312"
"2016-03-01","Aseos públicos","Molinón-Piles","685"
"2016-03-01","Aseos públicos","Parque de las Palmeras","104"
"2016-03-01","Aseos públicos","Parque del Cabo San Lorenzo","452"
"2016-03-01","Aseos públicos","Paseo de Begoña","356"
"2016-03-01","Aseos públicos","Paseo del Muro, Escalera 11","2538"
"2016-03-01","Aseos públicos","Paseo del Muro, escalera 3","2498"
"2016-03-01","Aseos públicos","Paseo del Muro, tostadero","2278"
"2016-03-01","Aseos públicos","Playa de Poniente","2187"
"2016-03-01","Aseos públicos","Playa del Arbeyal","662"
"2016-03-01","Aseos públicos","Plaza Cataluña","803"
"2016-03-01","Aseos públicos","Plaza San Miguel","282"
"2016-03-01","GijónBici","Horas Uso","1065"
"2016-03-01","GijónBici","Usuarios","591"
"2016-03-01","GijónBici","Viajes","1466"
"2016-03-01","Inscripciones","Cursos","6140"
"2016-03-01","Mediatecas","Adultos","9453"
"2016-03-01","Mediatecas","Infantiles","235"
"2016-03-01","Préstamos bibliotecas","Adultos","16426"
"2016-03-01","Préstamos bibliotecas","Infantiles","8161"
"2016-03-01","Reserva de instalaciones","Antigua Pescadería","32"
"2016-03-01","Reserva de instalaciones","Casa Consistorial","22"
"2016-03-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","17"
"2016-03-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","236"
"2016-03-01","Reserva de instalaciones","Complejo Deportivo La Calzada","3660"
"2016-03-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","5"
"2016-03-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","3152"
"2016-03-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","3616"
"2016-03-01","Reserva de instalaciones","Edificio Pelayo","2"
"2016-03-01","Reserva de instalaciones","Hotel Madrid","1"
"2016-03-01","Reserva de instalaciones","Locales de ensayo para músicos","7"
"2016-03-01","Reserva de instalaciones","Pabellón de Deportes La Arena","252"
"2016-03-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","372"
"2016-03-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","24"
"2016-03-01","Reserva de instalaciones","Pabellón de La Tejerona","571"
"2016-03-01","Reserva de instalaciones","Palacio de Deportes","270"
"2016-03-01","Reserva de instalaciones","Piscina Municipal El Coto","3978"
"2016-03-01","Reserva de instalaciones","Piscina Municipal El Llano","4276"
"2016-03-01","Reserva de instalaciones","Piscina Municipal La Camocha","1360"
"2016-03-01","Transporte","Tarjeta Ciudadana","1017033"
"2016-03-01","Transporte","Tarjeta Transporte","157020"
"2016-04-01","010","Cursos","46"
"2016-04-01","010","Cursos Munipales","22"
"2016-04-01","010","Informacion Personal","530"
"2016-04-01","010","Instalaciones Deportivas","50"
"2016-04-01","010","Renovacion Cursos","42"
"2016-04-01","Aseos públicos","Avda Carlos Marx","719"
"2016-04-01","Aseos públicos","Avda del Llano","471"
"2016-04-01","Aseos públicos","C/ Puerto el Pontón","127"
"2016-04-01","Aseos públicos","Cerro Santa Catalina","303"
"2016-04-01","Aseos públicos","Donato Argüelles","1191"
"2016-04-01","Aseos públicos","El Rinconín","1021"
"2016-04-01","Aseos públicos","Jardines de la Reina","1563"
"2016-04-01","Aseos públicos","Molinón-Piles","839"
"2016-04-01","Aseos públicos","Parque de las Palmeras","135"
"2016-04-01","Aseos públicos","Parque del Cabo San Lorenzo","458"
"2016-04-01","Aseos públicos","Paseo de Begoña","334"
"2016-04-01","Aseos públicos","Paseo del Muro, Escalera 11","2725"
"2016-04-01","Aseos públicos","Paseo del Muro, escalera 3","2621"
"2016-04-01","Aseos públicos","Paseo del Muro, tostadero","3007"
"2016-04-01","Aseos públicos","Playa de Poniente","2184"
"2016-04-01","Aseos públicos","Playa del Arbeyal","754"
"2016-04-01","Aseos públicos","Plaza Cataluña","534"
"2016-04-01","Aseos públicos","Plaza San Miguel","515"
"2016-04-01","GijónBici","Horas Uso","1261"
"2016-04-01","GijónBici","Usuarios","677"
"2016-04-01","GijónBici","Viajes","1736"
"2016-04-01","Inscripciones","Cursos","5594"
"2016-04-01","Mediatecas","Adultos","8724"
"2016-04-01","Mediatecas","Infantiles","215"
"2016-04-01","Préstamos bibliotecas","Adultos","15086"
"2016-04-01","Préstamos bibliotecas","Infantiles","7808"
"2016-04-01","Reserva de instalaciones","Antigua Pescadería","37"
"2016-04-01","Reserva de instalaciones","Casa Consistorial","23"
"2016-04-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","16"
"2016-04-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","299"
