Fecha,Servicio,Instalacion,Usos
"2007-01-01","Cimadevilla Centro Control","Campo Valdés","304"
"2007-01-01","Cimadevilla Centro Control","Fermín García Bernardo","240"
"2007-01-01","Cimadevilla con Tarjeta","Campo Valdés","2248"
"2007-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2445"
"2007-01-01","Cimadevilla Taxi","Campo Valdés","323"
"2007-01-01","Cimadevilla Taxi","Fermín García Bernardo","475"
"2007-01-01","Gijón Bici","Gijón Bici","1454"
"2007-01-01","Instalaciones Deportivas","Instalaciones Deportivas","61"
"2007-01-01","Mediatecas","Adultos","9185"
"2007-01-01","Mediatecas","Infantiles","765"
"2007-01-01","NINGUNA","NINGUNA","121"
"2007-01-01","ORA","ORA","5699"
"2007-01-01","Piscinas","Piscina Coto Control","6657"
"2007-01-01","Piscinas","Piscina La Calzada Control","4617"
"2007-01-01","Piscinas","Piscina Llano Control","7711"
"2007-01-01","Piscinas","Piscina Moreda Control","4795"
"2007-01-01","Piscinas","Piscina Panchano Control","2983"
"2007-01-01","Piscinas","Piscina Pumarin Control","6328"
"2007-01-01","Préstamos bibliotecas","Adultos","17024"
"2007-01-01","Préstamos bibliotecas","Infantiles","4109"
"2007-01-01","Reserva de instalaciones","Antigua Pescadería","42"
"2007-01-01","Reserva de instalaciones","Casa Consistorial","15"
"2007-01-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","1"
"2007-01-01","Reserva de instalaciones","Piscina Municipal El Coto","1"
"2007-01-01","Reserva de instalaciones","Reserva Material Informático","2"
"2007-01-01","Transporte","Tarjeta Turística","90"
"2007-01-01","Transporte","TC-Abono Mes","99045"
"2007-01-01","Transporte","TC-Abono Mes Mayores de 65","10176"
"2007-01-01","Transporte","TC-Abono Mes Menores de 26","46900"
"2007-01-01","Transporte","TC-Tarifa Empleado","2964"
"2007-01-01","Transporte","TC-Tarifa Empleado Emtusa","397"
"2007-01-01","Transporte","TC-Tarifa Familiar Emtusa","9148"
"2007-01-01","Transporte","TC-Tarifa Gratuita","21729"
"2007-01-01","Transporte","TC-Tarifa IES","2713"
"2007-01-01","Transporte","TC-Tarifa JOP","976"
"2007-01-01","Transporte","TC-Tarifa Mayores de 65","135149"
"2007-01-01","Transporte","TC-Tarifa Menores de 26","144963"
"2007-01-01","Transporte","TC-Tarifa Normal","259989"
"2007-01-01","Transporte","TC-Tarifa Reducida","24709"
"2007-01-01","Transporte","TT-Tarifa Normal","325786"
"2007-02-01","Cimadevilla Centro Control","Campo Valdés","245"
"2007-02-01","Cimadevilla Centro Control","Fermín García Bernardo","237"
"2007-02-01","Cimadevilla con Tarjeta","Campo Valdés","2288"
"2007-02-01","Cimadevilla con Tarjeta","Fermín García Bernardo","1958"
"2007-02-01","Cimadevilla Taxi","Campo Valdés","346"
"2007-02-01","Cimadevilla Taxi","Fermín García Bernardo","350"
"2007-02-01","Gijón Bici","Gijón Bici","1614"
"2007-02-01","Instalaciones Deportivas","Instalaciones Deportivas","86"
"2007-02-01","Mediatecas","Adultos","7719"
"2007-02-01","Mediatecas","Infantiles","723"
