Fecha,Servicio,Instalacion,Usos
"2004-01-01","Cimadevilla Centro Control","Campo Valdés","311"
"2004-01-01","Cimadevilla Centro Control","Fermín García Bernardo","270"
"2004-01-01","Cimadevilla con Tarjeta","Campo Valdés","2344"
"2004-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","3015"
"2004-01-01","ORA","ORA","14200"
"2004-01-01","Piscinas","Piscina Coto Control","5589"
"2004-01-01","Piscinas","Piscina La Calzada Control","4322"
"2004-01-01","Piscinas","Piscina Llano Control","7905"
"2004-01-01","Piscinas","Piscina Moreda Control","4922"
"2004-01-01","Piscinas","Piscina Panchano Control","3186"
"2004-01-01","Piscinas","Piscina Pumarin Control","6476"
"2004-01-01","Transporte","Tarjeta Turística","0"
"2004-01-01","Transporte","TC-Tarifa Empleado","2059"
"2004-01-01","Transporte","TC-Tarifa Empleado Emtusa","109"
"2004-01-01","Transporte","TC-Tarifa Familiar Emtusa","6503"
"2004-01-01","Transporte","TC-Tarifa Gratuita","1856"
"2004-01-01","Transporte","TC-Tarifa IES","1121"
"2004-01-01","Transporte","TC-Tarifa JOP","730"
"2004-01-01","Transporte","TC-Tarifa Mayores de 65","20874"
"2004-01-01","Transporte","TC-Tarifa Menores de 26","111596"
"2004-01-01","Transporte","TC-Tarifa Normal","84175"
"2004-01-01","Transporte","TC-Tarifa Reducida","5714"
"2004-01-01","Transporte","TT-Tarifa Mayores de 65","16232"
"2004-01-01","Transporte","TT-Tarifa Menores de 26","36008"
"2004-01-01","Transporte","TT-Tarifa Normal","516892"
"2004-02-01","Cimadevilla Centro Control","Campo Valdés","234"
"2004-02-01","Cimadevilla Centro Control","Fermín García Bernardo","218"
"2004-02-01","Cimadevilla con Tarjeta","Campo Valdés","2000"
"2004-02-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2837"
"2004-02-01","ORA","ORA","14200"
"2004-02-01","Piscinas","Piscina Coto Control","5886"
"2004-02-01","Piscinas","Piscina La Calzada Control","4569"
"2004-02-01","Piscinas","Piscina Llano Control","8385"
"2004-02-01","Piscinas","Piscina Moreda Control","5156"
"2004-02-01","Piscinas","Piscina Panchano Control","1649"
"2004-02-01","Piscinas","Piscina Pumarin Control","6801"
"2004-02-01","Transporte","Tarjeta Turística","0"
"2004-02-01","Transporte","TC-Tarifa Empleado","2135"
"2004-02-01","Transporte","TC-Tarifa Empleado Emtusa","117"
"2004-02-01","Transporte","TC-Tarifa Familiar Emtusa","6791"
"2004-02-01","Transporte","TC-Tarifa Gratuita","5197"
"2004-02-01","Transporte","TC-Tarifa IES","3771"
"2004-02-01","Transporte","TC-Tarifa JOP","1121"
"2004-02-01","Transporte","TC-Tarifa Mayores de 65","35122"
"2004-02-01","Transporte","TC-Tarifa Menores de 26","134755"
"2004-02-01","Transporte","TC-Tarifa Normal","104837"
"2004-02-01","Transporte","TC-Tarifa Reducida","7632"
"2004-02-01","Transporte","TT-Tarifa Mayores de 65","33282"
