Fecha,Servicio,Instalacion,Usos
"2008-02-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","155"
"2008-02-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","48"
"2008-02-01","Reserva de instalaciones","Palacio de Deportes","305"
"2008-02-01","Reserva de instalaciones","Piscina Municipal Centro Panchano","190"
"2008-02-01","Reserva de instalaciones","Piscina Municipal El Coto","629"
"2008-02-01","Reserva de instalaciones","Piscina Municipal El Llano","626"
"2008-02-01","Transporte","Tarjeta Turística","32"
"2008-02-01","Transporte","TC-Abono Anual","9030"
"2008-02-01","Transporte","TC-Abono Mes","106982"
"2008-02-01","Transporte","TC-Abono Mes Mayores de 65","12418"
"2008-02-01","Transporte","TC-Abono Mes Menores de 26","47149"
"2008-02-01","Transporte","TC-Abono Semestral","7457"
"2008-02-01","Transporte","TC-Tarifa Empleado","2777"
"2008-02-01","Transporte","TC-Tarifa Empleado Emtusa","510"
"2008-02-01","Transporte","TC-Tarifa Familiar Emtusa","8830"
"2008-02-01","Transporte","TC-Tarifa Gratuita","23401"
"2008-02-01","Transporte","TC-Tarifa IES","3008"
"2008-02-01","Transporte","TC-Tarifa JOP","916"
"2008-02-01","Transporte","TC-Tarifa Mayores de 65","143260"
"2008-02-01","Transporte","TC-Tarifa Menores de 13","47458"
"2008-02-01","Transporte","TC-Tarifa Menores de 26","104618"
"2008-02-01","Transporte","TC-Tarifa Normal","266314"
"2008-02-01","Transporte","TC-Tarifa Reducida","24322"
"2008-02-01","Transporte","TT-Tarifa Normal","273745"
"2008-03-01","Bibliotecas Principado","Jovellanos","81"
"2008-03-01","Bibliotecas Principado","Jovellanos Infantil","237"
"2008-03-01","Cimadevilla Centro Control","Campo Valdés","275"
"2008-03-01","Cimadevilla Centro Control","Fermín García Bernardo","305"
"2008-03-01","Cimadevilla con Tarjeta","Campo Valdés","1758"
"2008-03-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2737"
"2008-03-01","Cimadevilla Taxi","Campo Valdés","406"
"2008-03-01","Cimadevilla Taxi","Fermín García Bernardo","469"
"2008-03-01","Gijón Bici","Gijón Bici","1960"
"2008-03-01","Instalaciones Deportivas","Instalaciones Deportivas","5482"
"2008-03-01","Mediatecas","Adultos","7766"
"2008-03-01","Mediatecas","Infantiles","490"
"2008-03-01","OIJ","Oficina Informacion Juvenil","848"
"2008-03-01","ORA","ORA","19357"
"2008-03-01","Piscinas","Piscina Coto Control","6327"
"2008-03-01","Piscinas","Piscina La Calzada Control","3601"
"2008-03-01","Piscinas","Piscina Llano Control","6788"
"2008-03-01","Piscinas","Piscina Moreda Control","4032"
"2008-03-01","Piscinas","Piscina Panchano Control","2619"
"2008-03-01","Piscinas","Piscina Pumarin Control","4287"
"2008-03-01","Préstamos bibliotecas","Adultos","22999"
"2008-03-01","Préstamos bibliotecas","Infantiles","4606"
"2008-03-01","Reserva de instalaciones","Antigua Pescadería","32"
"2008-03-01","Reserva de instalaciones","Casa Consistorial","19"
"2008-03-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","371"
"2008-03-01","Reserva de instalaciones","Complejo Deportivo La Calzada","1499"
"2008-03-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","7"
"2008-03-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","450"
"2008-03-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","875"
"2008-03-01","Reserva de instalaciones","Gimnasios de El Molinón","14"
"2008-03-01","Reserva de instalaciones","Pabellón de Deportes La Arena","134"
"2008-03-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","153"
"2008-03-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","75"
"2008-03-01","Reserva de instalaciones","Palacio de Deportes","315"
"2008-03-01","Reserva de instalaciones","Piscina Municipal Centro Panchano","229"
"2008-03-01","Reserva de instalaciones","Piscina Municipal El Coto","666"
"2008-03-01","Reserva de instalaciones","Piscina Municipal El Llano","643"
"2008-03-01","Transporte","Tarjeta Turística","32"
"2008-03-01","Transporte","TC-Abono Anual","9500"
"2008-03-01","Transporte","TC-Abono Mes","106512"
"2008-03-01","Transporte","TC-Abono Mes Mayores de 65","12611"
"2008-03-01","Transporte","TC-Abono Mes Menores de 26","43357"
"2008-03-01","Transporte","TC-Abono Semestral","8168"
"2008-03-01","Transporte","TC-Tarifa Empleado","2482"
"2008-03-01","Transporte","TC-Tarifa Empleado Emtusa","489"
"2008-03-01","Transporte","TC-Tarifa Familiar Emtusa","8778"
"2008-03-01","Transporte","TC-Tarifa Gratuita","23453"
"2008-03-01","Transporte","TC-Tarifa IES","2137"
"2008-03-01","Transporte","TC-Tarifa JOP","922"
"2008-03-01","Transporte","TC-Tarifa Mayores de 65","136399"
"2008-03-01","Transporte","TC-Tarifa Menores de 13","45538"
"2008-03-01","Transporte","TC-Tarifa Menores de 26","98074"
"2008-03-01","Transporte","TC-Tarifa Normal","264391"
"2008-03-01","Transporte","TC-Tarifa Reducida","22843"
"2008-03-01","Transporte","TT-Tarifa Normal","260006"
"2008-04-01","Bibliotecas Principado","Jovellanos Infantil","408"
"2008-04-01","Cimadevilla Centro Control","Campo Valdés","251"
"2008-04-01","Cimadevilla Centro Control","Fermín García Bernardo","304"
"2008-04-01","Cimadevilla con Tarjeta","Campo Valdés","1664"
"2008-04-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2383"
"2008-04-01","Cimadevilla Taxi","Campo Valdés","408"
"2008-04-01","Cimadevilla Taxi","Fermín García Bernardo","420"
"2008-04-01","Gijón Bici","Gijón Bici","2273"
"2008-04-01","Instalaciones Deportivas","Instalaciones Deportivas","8088"
"2008-04-01","Mediatecas","Adultos","9324"
"2008-04-01","Mediatecas","Infantiles","565"
"2008-04-01","OIJ","Oficina Informacion Juvenil","1107"
"2008-04-01","ORA","ORA","19357"
"2008-04-01","Piscinas","Piscina Coto Control","7043"
