Fecha,Servicio,Instalacion,Usos
"2012-01-01","Aseos públicos","Avda Carlos Marx","716"
"2012-01-01","Aseos públicos","Avda del Llano","613"
"2012-01-01","Aseos públicos","C/ Puerto el Pontón","147"
"2012-01-01","Aseos públicos","Cerro Santa Catalina","154"
"2012-01-01","Aseos públicos","Donato Argüelles","915"
"2012-01-01","Aseos públicos","El Rinconín","819"
"2012-01-01","Aseos públicos","Jardines de la Reina","1702"
"2012-01-01","Aseos públicos","Molinón-Piles","446"
"2012-01-01","Aseos públicos","Parque de las Palmeras","248"
"2012-01-01","Aseos públicos","Parque del Cabo San Lorenzo","223"
"2012-01-01","Aseos públicos","Paseo de Begoña","1421"
"2012-01-01","Aseos públicos","Paseo del Muro, Escalera 11","2812"
"2012-01-01","Aseos públicos","Paseo del Muro, escalera 3","2221"
"2012-01-01","Aseos públicos","Paseo del Muro, tostadero","2763"
"2012-01-01","Aseos públicos","Playa de Poniente","2003"
"2012-01-01","Aseos públicos","Playa del Arbeyal","689"
"2012-01-01","Aseos públicos","Plaza San Miguel","965"
"2012-01-01","Cimadevilla Centro Control","Campo Valdés","282"
"2012-01-01","Cimadevilla Centro Control","Fermín García Bernardo","193"
"2012-01-01","Cimadevilla con Tarjeta","Campo Valdés","2216"
"2012-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","1563"
"2012-01-01","Cimadevilla Taxi","Campo Valdés","297"
"2012-01-01","Cimadevilla Taxi","Fermín García Bernardo","225"
"2012-01-01","Gijón Bici","Gijón Bici","1924"
"2012-01-01","GijónBici","Horas Uso","1215"
"2012-01-01","GijónBici","Usuarios","720"
"2012-01-01","GijónBici","Viajes","1924"
"2012-01-01","Instalaciones Deportivas","Instalaciones Deportivas","22518"
"2012-01-01","Mediatecas","Adultos","11747"
"2012-01-01","Mediatecas","Infantiles","774"
"2012-01-01","ORA","ORA","2243"
"2012-01-01","Préstamos bibliotecas","Adultos","20590"
"2012-01-01","Préstamos bibliotecas","Infantiles","5283"
