Fecha,Servicio,Instalacion,Usos
"2003-05-01","Piscinas","Piscina Coto Control","183"
"2003-05-01","Piscinas","Piscina La Calzada Control","6"
"2003-05-01","Piscinas","Piscina Llano Control","25"
"2003-05-01","Piscinas","Piscina Moreda Control","146"
"2003-05-01","Piscinas","Piscina Panchano Control","121"
"2003-05-01","Piscinas","Piscina Pumarin Control","189"
"2003-06-01","Piscinas","Piscina Coto Control","3517"
"2003-06-01","Piscinas","Piscina La Calzada Control","2035"
"2003-06-01","Piscinas","Piscina Llano Control","7090"
"2003-06-01","Piscinas","Piscina Moreda Control","4131"
"2003-06-01","Piscinas","Piscina Panchano Control","3057"
"2003-06-01","Piscinas","Piscina Pumarin Control","4858"
"2003-07-01","Piscinas","Piscina Coto Control","1922"
"2003-07-01","Piscinas","Piscina La Calzada Control","2794"
"2003-07-01","Piscinas","Piscina Llano Control","9202"
"2003-07-01","Piscinas","Piscina Moreda Control","5030"
"2003-07-01","Piscinas","Piscina Panchano Control","2485"
"2003-07-01","Piscinas","Piscina Pumarin Control","3274"
"2003-08-01","Piscinas","Piscina Coto Control","4531"
"2003-08-01","Piscinas","Piscina La Calzada Control","3943"
"2003-08-01","Piscinas","Piscina Llano Control","7323"
"2003-08-01","Piscinas","Piscina Pumarin Control","5072"
"2003-09-01","Piscinas","Piscina Coto Control","5374"
"2003-09-01","Piscinas","Piscina La Calzada Control","3255"
"2003-09-01","Piscinas","Piscina Llano Control","2"
"2003-09-01","Piscinas","Piscina Moreda Control","4075"
"2003-09-01","Piscinas","Piscina Panchano Control","2906"
"2003-09-01","Piscinas","Piscina Pumarin Control","6775"
"2003-10-01","Piscinas","Piscina Coto Control","4680"
"2003-10-01","Piscinas","Piscina La Calzada Control","3510"
"2003-10-01","Piscinas","Piscina Llano Control","7230"
"2003-10-01","Piscinas","Piscina Moreda Control","4360"
"2003-10-01","Piscinas","Piscina Panchano Control","2985"
"2003-10-01","Piscinas","Piscina Pumarin Control","5444"
"2003-11-01","Cimadevilla Centro Control","Campo Valdés","62"
"2003-11-01","Cimadevilla Centro Control","Fermín García Bernardo","71"
"2003-11-01","Cimadevilla con Tarjeta","Campo Valdés","159"
"2003-11-01","Cimadevilla con Tarjeta","Fermín García Bernardo","268"
"2003-11-01","Piscinas","Piscina Coto Control","5704"
"2003-11-01","Piscinas","Piscina La Calzada Control","3621"
"2003-11-01","Piscinas","Piscina Llano Control","8153"
"2003-11-01","Piscinas","Piscina Moreda Control","4444"
"2003-11-01","Piscinas","Piscina Panchano Control","3183"
"2003-11-01","Piscinas","Piscina Pumarin Control","5739"
"2003-12-01","Cimadevilla Centro Control","Campo Valdés","263"
"2003-12-01","Cimadevilla Centro Control","Fermín García Bernardo","208"
"2003-12-01","Cimadevilla con Tarjeta","Campo Valdés","1590"
"2003-12-01","Cimadevilla con Tarjeta","Fermín García Bernardo","1819"
"2003-12-01","Piscinas","Piscina Coto Control","4583"
"2003-12-01","Piscinas","Piscina La Calzada Control","3155"
"2003-12-01","Piscinas","Piscina Llano Control","6683"
"2003-12-01","Piscinas","Piscina Moreda Control","3837"
"2003-12-01","Piscinas","Piscina Panchano Control","2367"
"2003-12-01","Piscinas","Piscina Pumarin Control","4552"
"2003-12-01","Transporte","TC-Tarifa Empleado","301"
"2003-12-01","Transporte","TC-Tarifa Familiar Emtusa","559"
"2003-12-01","Transporte","TC-Tarifa Menores de 26","10852"
"2003-12-01","Transporte","TC-Tarifa Normal","10235"
"2003-12-01","Transporte","TC-Tarifa Reducida","267"
"2003-12-01","Transporte","TT-Tarifa Normal","189989"
"2003-12-08","Transporte","TC-Tarifa Empleado","319"
"2003-12-08","Transporte","TC-Tarifa Familiar Emtusa","907"
"2003-12-08","Transporte","TC-Tarifa Menores de 26","11805"
"2003-12-08","Transporte","TC-Tarifa Normal","10829"
"2003-12-08","Transporte","TC-Tarifa Reducida","484"
"2003-12-15","Transporte","TC-Tarifa Empleado","386"
"2003-12-15","Transporte","TC-Tarifa Empleado Emtusa","1"
"2003-12-15","Transporte","TC-Tarifa Familiar Emtusa","1194"
"2003-12-15","Transporte","TC-Tarifa Menores de 26","17009"
"2003-12-15","Transporte","TC-Tarifa Normal","15687"
"2003-12-15","Transporte","TC-Tarifa Reducida","833"
"2003-12-15","Transporte","TT-Tarifa Normal","120833"
"2003-12-22","Transporte","TC-Tarifa Empleado","303"
"2003-12-22","Transporte","TC-Tarifa Familiar Emtusa","1012"
"2003-12-22","Transporte","TC-Tarifa Menores de 26","8410"
"2003-12-22","Transporte","TC-Tarifa Normal","11521"
"2003-12-22","Transporte","TC-Tarifa Reducida","754"
"2003-12-22","Transporte","TT-Tarifa Normal","85710"
"2003-12-29","Transporte","TC-Tarifa Empleado","153"
"2003-12-29","Transporte","TC-Tarifa Empleado Emtusa","2"
"2003-12-29","Transporte","TC-Tarifa Familiar Emtusa","433"
"2003-12-29","Transporte","TC-Tarifa Gratuita","2"
"2003-12-29","Transporte","TC-Tarifa JOP","10"
"2003-12-29","Transporte","TC-Tarifa Mayores de 65","509"
"2003-12-29","Transporte","TC-Tarifa Menores de 26","3949"
"2003-12-29","Transporte","TC-Tarifa Normal","5314"
"2003-12-29","Transporte","TC-Tarifa Reducida","375"
"2003-12-29","Transporte","TT-Tarifa Mayores de 65","96"
"2003-12-29","Transporte","TT-Tarifa Menores de 26","99"
"2003-12-29","Transporte","TT-Tarifa Normal","38007"
