Fecha,Servicio,Instalacion,Usos
"2015-01-01","010","Cursos","34"
"2015-01-01","010","Cursos Munipales","29"
"2015-01-01","010","Informacion Personal","151"
"2015-01-01","010","Instalaciones Deportivas","25"
"2015-01-01","010","Renovacion Cursos","18"
"2015-01-01","Aseos públicos","Avda Carlos Marx","720"
"2015-01-01","Aseos públicos","Avda del Llano","533"
"2015-01-01","Aseos públicos","C/ Puerto el Pontón","100"
"2015-01-01","Aseos públicos","Cerro Santa Catalina","188"
"2015-01-01","Aseos públicos","Donato Argüelles","1933"
"2015-01-01","Aseos públicos","El Rinconín","482"
"2015-01-01","Aseos públicos","Jardines de la Reina","1178"
"2015-01-01","Aseos públicos","Molinón-Piles","694"
"2015-01-01","Aseos públicos","Parque de las Palmeras","167"
"2015-01-01","Aseos públicos","Parque del Cabo San Lorenzo","169"
"2015-01-01","Aseos públicos","Paseo de Begoña","1098"
"2015-01-01","Aseos públicos","Paseo del Muro, Escalera 11","2450"
"2015-01-01","Aseos públicos","Paseo del Muro, escalera 3","2412"
"2015-01-01","Aseos públicos","Paseo del Muro, tostadero","2522"
"2015-01-01","Aseos públicos","Playa de Poniente","1726"
"2015-01-01","Aseos públicos","Playa del Arbeyal","581"
"2015-01-01","Aseos públicos","Plaza Cataluña","355"
"2015-01-01","Aseos públicos","Plaza San Miguel","464"
"2015-01-01","GijónBici","Horas Uso","978"
"2015-01-01","GijónBici","Usuarios","548"
"2015-01-01","GijónBici","Viajes","1490"
"2015-01-01","Inscripciones","Cursos","3120"
"2015-01-01","Mediatecas","Adultos","9647"
"2015-01-01","Mediatecas","Infantiles","130"
"2015-01-01","Préstamos bibliotecas","Adultos","15705"
"2015-01-01","Préstamos bibliotecas","Infantiles","7180"
"2015-01-01","Reserva de instalaciones","Antigua Pescadería","18"
"2015-01-01","Reserva de instalaciones","Casa Consistorial","26"
"2015-01-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","15"
"2015-01-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","249"
"2015-01-01","Reserva de instalaciones","Complejo Deportivo La Calzada","3676"
"2015-01-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","14"
"2015-01-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","3203"
"2015-01-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","3529"
"2015-01-01","Reserva de instalaciones","Edificio Pelayo","2"
"2015-01-01","Reserva de instalaciones","Hotel Madrid","5"
"2015-01-01","Reserva de instalaciones","Pabellón de Deportes La Arena","153"
"2015-01-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","371"
"2015-01-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","36"
"2015-01-01","Reserva de instalaciones","Pabellón de La Tejerona","557"
"2015-01-01","Reserva de instalaciones","Palacio de Deportes","288"
"2015-01-01","Reserva de instalaciones","Piscina Municipal El Coto","3747"
"2015-01-01","Reserva de instalaciones","Piscina Municipal El Llano","4112"
"2015-01-01","Reserva de instalaciones","Piscina Municipal La Camocha","1090"
"2015-01-01","Transporte","Tarjeta Ciudadana","943274"
"2015-01-01","Transporte","Tarjeta Transporte","158179"
"2015-02-01","010","Cursos","51"
"2015-02-01","010","Cursos Munipales","26"
"2015-02-01","010","Informacion Personal","162"
"2015-02-01","010","Instalaciones Deportivas","21"
"2015-02-01","010","Renovacion Cursos","15"
"2015-02-01","Aseos públicos","Avda Carlos Marx","244"
"2015-02-01","Aseos públicos","Avda del Llano","510"
"2015-02-01","Aseos públicos","C/ Puerto el Pontón","116"
"2015-02-01","Aseos públicos","Cerro Santa Catalina","110"
"2015-02-01","Aseos públicos","Donato Argüelles","1122"
"2015-02-01","Aseos públicos","El Rinconín","355"
"2015-02-01","Aseos públicos","Jardines de la Reina","857"
"2015-02-01","Aseos públicos","Molinón-Piles","542"
"2015-02-01","Aseos públicos","Parque de las Palmeras","149"
"2015-02-01","Aseos públicos","Parque del Cabo San Lorenzo","164"
"2015-02-01","Aseos públicos","Paseo de Begoña","893"
"2015-02-01","Aseos públicos","Paseo del Muro, Escalera 11","1871"
"2015-02-01","Aseos públicos","Paseo del Muro, escalera 3","1618"
"2015-02-01","Aseos públicos","Paseo del Muro, tostadero","1594"
"2015-02-01","Aseos públicos","Playa de Poniente","1088"
"2015-02-01","Aseos públicos","Playa del Arbeyal","435"
"2015-02-01","Aseos públicos","Plaza Cataluña","403"
"2015-02-01","Aseos públicos","Plaza San Miguel","351"
"2015-02-01","GijónBici","Horas Uso","772"
"2015-02-01","GijónBici","Usuarios","425"
"2015-02-01","GijónBici","Viajes","1179"
"2015-02-01","Inscripciones","Cursos","11454"
"2015-02-01","Mediatecas","Adultos","9559"
"2015-02-01","Mediatecas","Infantiles","189"
"2015-02-01","Préstamos bibliotecas","Adultos","15382"
"2015-02-01","Préstamos bibliotecas","Infantiles","7867"
"2015-02-01","Reserva de instalaciones","Antigua Pescadería","35"
"2015-02-01","Reserva de instalaciones","Casa Consistorial","16"
"2015-02-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","24"
"2015-02-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","134"
"2015-02-01","Reserva de instalaciones","Complejo Deportivo La Calzada","3557"
"2015-02-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","9"
"2015-02-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","2872"
"2015-02-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","3460"
"2015-02-01","Reserva de instalaciones","Edificio Pelayo","5"
"2015-02-01","Reserva de instalaciones","Hotel Madrid","2"
"2015-02-01","Reserva de instalaciones","Pabellón de Deportes La Arena","179"
"2015-02-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","373"
"2015-02-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","27"
"2015-02-01","Reserva de instalaciones","Pabellón de La Tejerona","487"
"2015-02-01","Reserva de instalaciones","Palacio de Deportes","293"
"2015-02-01","Reserva de instalaciones","Piscina Municipal El Coto","3856"
"2015-02-01","Reserva de instalaciones","Piscina Municipal El Llano","4020"
"2015-02-01","Reserva de instalaciones","Piscina Municipal La Camocha","1109"
"2015-02-01","Transporte","Tarjeta Ciudadana","903803"
"2015-02-01","Transporte","Tarjeta Transporte","149631"
"2015-03-01","010","Cursos","58"
"2015-03-01","010","Cursos Munipales","39"
"2015-03-01","010","Informacion Personal","175"
"2015-03-01","010","Instalaciones Deportivas","33"
"2015-03-01","010","Renovacion Cursos","28"
"2015-03-01","Aseos públicos","Avda Carlos Marx","623"
"2015-03-01","Aseos públicos","Avda del Llano","847"
"2015-03-01","Aseos públicos","C/ Puerto el Pontón","158"
"2015-03-01","Aseos públicos","Cerro Santa Catalina","185"
"2015-03-01","Aseos públicos","Donato Argüelles","1874"
"2015-03-01","Aseos públicos","El Rinconín","1116"
"2015-03-01","Aseos públicos","Jardines de la Reina","1475"
"2015-03-01","Aseos públicos","Molinón-Piles","817"
"2015-03-01","Aseos públicos","Parque de las Palmeras","246"
"2015-03-01","Aseos públicos","Parque del Cabo San Lorenzo","477"
"2015-03-01","Aseos públicos","Paseo de Begoña","1417"
"2015-03-01","Aseos públicos","Paseo del Muro, Escalera 11","3251"
"2015-03-01","Aseos públicos","Paseo del Muro, escalera 3","2699"
"2015-03-01","Aseos públicos","Paseo del Muro, tostadero","3072"
"2015-03-01","Aseos públicos","Playa de Poniente","2279"
"2015-03-01","Aseos públicos","Playa del Arbeyal","741"
"2015-03-01","Aseos públicos","Plaza Cataluña","861"
