Fecha,Servicio,Instalacion,Usos
"2010-01-01","Aseos públicos","Avda Carlos Marx","412"
"2010-01-01","Aseos públicos","Avda del Llano","346"
"2010-01-01","Aseos públicos","C/ Puerto el Pontón","1082"
"2010-01-01","Aseos públicos","Donato Argüelles","642"
"2010-01-01","Aseos públicos","El Rinconín","514"
"2010-01-01","Aseos públicos","Jardines de la Reina","799"
"2010-01-01","Aseos públicos","Molinón-Piles","386"
"2010-01-01","Aseos públicos","Parque de las Palmeras","222"
"2010-01-01","Aseos públicos","Parque del Cabo San Lorenzo","190"
"2010-01-01","Aseos públicos","Paseo de Begoña","597"
"2010-01-01","Aseos públicos","Paseo del Muro, Escalera 11","1917"
"2010-01-01","Aseos públicos","Paseo del Muro, escalera 3","1557"
"2010-01-01","Aseos públicos","Paseo del Muro, tostadero","2044"
"2010-01-01","Aseos públicos","Playa de Poniente","1264"
"2010-01-01","Aseos públicos","Playa del Arbeyal","249"
"2010-01-01","Aseos públicos","Plaza Cataluña","534"
"2010-01-01","Aseos públicos","Plaza San Miguel","248"
"2010-01-01","Cimadevilla Centro Control","Campo Valdés","243"
"2010-01-01","Cimadevilla Centro Control","Fermín García Bernardo","305"
"2010-01-01","Cimadevilla con Tarjeta","Campo Valdés","1812"
"2010-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2379"
"2010-01-01","Cimadevilla Taxi","Campo Valdés","255"
"2010-01-01","Cimadevilla Taxi","Fermín García Bernardo","446"
"2010-01-01","Gijón Bici","Gijón Bici","1463"
"2010-01-01","Instalaciones Deportivas","Instalaciones Deportivas","18181"
"2010-01-01","Mediatecas","Adultos","10046"
"2010-01-01","Mediatecas","Infantiles","698"
"2010-01-01","ORA","ORA","19357"
"2010-01-01","Préstamos bibliotecas","Adultos","20545"
"2010-01-01","Préstamos bibliotecas","Infantiles","5904"
"2010-01-01","Reserva de instalaciones","Antigua Pescadería","26"
"2010-01-01","Reserva de instalaciones","Casa Consistorial","13"
"2010-01-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","239"
"2010-01-01","Reserva de instalaciones","Complejo Deportivo La Calzada","3720"
"2010-01-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","49"
"2010-01-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","2854"
"2010-01-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","3004"
"2010-01-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","354"
"2010-01-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","45"
"2010-01-01","Reserva de instalaciones","Palacio de Deportes","345"
"2010-01-01","Reserva de instalaciones","Piscina Municipal El Coto","3839"
"2010-01-01","Reserva de instalaciones","Piscina Municipal El Llano","3693"
"2010-01-01","Transporte","Tarjeta Ciudadana","849803"
"2010-01-01","Transporte","Tarjeta Transporte","204958"
"2010-02-01","Aseos públicos","Avda Carlos Marx","389"
"2010-02-01","Aseos públicos","Avda del Llano","404"
"2010-02-01","Aseos públicos","C/ Puerto el Pontón","0"
"2010-02-01","Aseos públicos","Donato Argüelles","890"
"2010-02-01","Aseos públicos","El Rinconín","673"
"2010-02-01","Aseos públicos","Jardines de la Reina","691"
"2010-02-01","Aseos públicos","Molinón-Piles","473"
"2010-02-01","Aseos públicos","Parque de las Palmeras","296"
"2010-02-01","Aseos públicos","Parque del Cabo San Lorenzo","244"
"2010-02-01","Aseos públicos","Paseo de Begoña","1134"
"2010-02-01","Aseos públicos","Paseo del Muro, Escalera 11","1930"
"2010-02-01","Aseos públicos","Paseo del Muro, escalera 3","1260"
"2010-02-01","Aseos públicos","Paseo del Muro, tostadero","2102"
"2010-02-01","Aseos públicos","Playa de Poniente","1430"
"2010-02-01","Aseos públicos","Playa del Arbeyal","428"
"2010-02-01","Aseos públicos","Plaza Cataluña","613"
"2010-02-01","Aseos públicos","Plaza San Miguel","533"
"2010-02-01","Cimadevilla Centro Control","Campo Valdés","179"
"2010-02-01","Cimadevilla Centro Control","Fermín García Bernardo","267"
"2010-02-01","Cimadevilla con Tarjeta","Campo Valdés","1417"
"2010-02-01","Cimadevilla con Tarjeta","Fermín García Bernardo","1911"
